dteday,registered
2012-03-07,4484
2012-03-08,4896
2012-03-09,4122
2012-03-10,3150
2012-03-11,3253
2012-03-12,4460
2012-03-13,5085
2012-03-14,5315
2012-03-15,5187
2012-03-16,3830
2012-03-17,4681
2012-03-18,3685
2012-03-19,5171
2012-03-20,5042
2012-03-21,5108
2012-03-22,5537
2012-03-23,5893
2012-03-24,2339
2012-03-25,3464
2012-03-26,4763
2012-03-27,4571
2012-03-28,5024
2012-03-29,5299
2012-03-30,4663
2012-03-31,3934
2012-04-01,3694
2012-04-02,4728
2012-04-03,5424
2012-04-04,5378
2012-04-05,5265
2012-04-06,4653
2012-04-07,3605
2012-04-08,2939
2012-04-09,4680
2012-04-10,5099
2012-04-11,4380
2012-04-12,4746
2012-04-13,5146
2012-04-14,4665
2012-04-15,4286
2012-04-16,5172
2012-04-17,5702
2012-04-18,4020
2012-04-19,5719
2012-04-20,5950
2012-04-21,4083
2012-04-22,907
2012-04-23,3019
2012-04-24,5115
2012-04-25,5541
2012-04-26,4551
2012-04-27,5219
2012-04-28,3100
2012-04-29,4075
2012-04-30,4907
2012-05-01,5087
2012-05-02,5502
2012-05-03,5657
2012-05-04,5227
2012-05-05,4387
2012-05-06,4224
2012-05-07,5265
2012-05-08,4990
2012-05-09,4097
2012-05-10,5546
2012-05-11,5711
2012-05-12,4807
2012-05-13,3946
2012-05-14,2501
2012-05-15,4490
2012-05-16,6433
2012-05-17,6142
2012-05-18,6118
2012-05-19,4884
2012-05-20,4425
2012-05-21,3729
2012-05-22,5254
2012-05-23,4494
2012-05-24,5711
2012-05-25,5317
2012-05-26,3681
2012-05-27,3308
2012-05-28,3486
2012-05-29,4863
2012-05-30,6110
2012-05-31,6238
2012-06-01,3594
2012-06-02,5325
2012-06-03,5147
2012-06-04,5927
2012-06-05,6033
2012-06-06,6028
2012-06-07,6456
2012-06-08,6248
2012-06-09,4790
2012-06-10,4374
2012-06-11,5647
2012-06-12,4495
2012-06-13,6248
2012-06-14,6183
2012-06-15,6102
2012-06-16,4739
2012-06-17,4344
2012-06-18,4446
2012-06-19,5857
2012-06-20,5339
2012-06-21,5127
2012-06-22,4859
2012-06-23,4801
2012-06-24,4340
2012-06-25,5640
2012-06-26,6365
2012-06-27,6258
2012-06-28,5958
2012-06-29,4634
2012-06-30,4232
2012-07-01,4110
2012-07-02,5323
2012-07-03,5608
2012-07-04,4841
2012-07-05,4836
2012-07-06,4841
2012-07-07,3392
2012-07-08,3469
2012-07-09,5571
2012-07-10,5336
2012-07-11,6289
2012-07-12,6414
2012-07-13,5988
2012-07-14,4614
2012-07-15,4111
2012-07-16,5742
2012-07-17,5865
2012-07-18,4914
2012-07-19,5703
2012-07-20,5123
2012-07-21,3195
2012-07-22,4866
2012-07-23,5831
2012-07-24,6452
2012-07-25,6790
2012-07-26,5825
2012-07-27,5645
2012-07-28,4451
2012-07-29,4444
2012-07-30,6065
2012-07-31,6248
2012-08-01,6506
2012-08-02,6278
2012-08-03,5847
2012-08-04,4479
2012-08-05,3757
2012-08-06,5780
2012-08-07,5995
2012-08-08,6271
2012-08-09,6090
2012-08-10,4721
2012-08-11,4052
2012-08-12,4362
2012-08-13,5676
2012-08-14,5656
2012-08-15,6149
2012-08-16,6267
2012-08-17,5665
2012-08-18,5038
2012-08-19,3341
2012-08-20,5504
2012-08-21,5925
2012-08-22,6281
2012-08-23,6402
2012-08-24,6257
2012-08-25,4224
2012-08-26,3772
2012-08-27,5928
2012-08-28,6105
2012-08-29,6520
2012-08-30,6541
2012-08-31,5917
2012-09-01,3788
2012-09-02,3197
2012-09-03,4069
2012-09-04,5997
2012-09-05,6280
2012-09-06,5592
2012-09-07,6459
2012-09-08,4419
2012-09-09,5657
2012-09-10,6407
2012-09-11,6697
2012-09-12,6820
2012-09-13,6750
2012-09-14,6630
2012-09-15,5554
2012-09-16,5167
2012-09-17,5847
2012-09-18,3702
2012-09-19,6803
2012-09-20,6781
2012-09-21,6917
2012-09-22,5883
2012-09-23,5453
2012-09-24,6435
2012-09-25,6693
2012-09-26,6946
2012-09-27,6642
2012-09-28,6370
2012-09-29,5966
2012-09-30,4874
2012-10-01,6015
2012-10-02,4324
2012-10-03,6844
2012-10-04,6437
2012-10-05,6640
2012-10-06,4934
2012-10-07,2729
2012-10-08,4604
2012-10-09,5791
2012-10-10,6911
2012-10-11,6736
2012-10-12,6222
2012-10-13,4857
2012-10-14,4559
2012-10-15,5115
2012-10-16,6612
2012-10-17,6482
2012-10-18,6501
2012-10-19,4671
2012-10-20,5284
2012-10-21,4692
2012-10-22,6228
2012-10-23,6625
2012-10-24,6898
2012-10-25,6484
2012-10-26,6262
2012-10-27,5209
2012-10-28,3461
2012-10-29,20
2012-10-30,1009
2012-10-31,5147
2012-11-01,5520
2012-11-02,5229
2012-11-03,4109
2012-11-04,3906
2012-11-05,4881
2012-11-06,5220
2012-11-07,4709
2012-11-08,4975
2012-11-09,5283
2012-11-10,4446
2012-11-11,4562
2012-11-12,5172
2012-11-13,3767
2012-11-14,5122
2012-11-15,5125
2012-11-16,5214
2012-11-17,4316
2012-11-18,3747
2012-11-19,5050
2012-11-20,5100
2012-11-21,4531
2012-11-22,1470
2012-11-23,2307
2012-11-24,1745
2012-11-25,2115
2012-11-26,4750
2012-11-27,3836
2012-11-28,5062
2012-11-29,5080
2012-11-30,5306
