dteday,casual
2012-01-10,173
2012-01-11,92
2012-01-12,269
2012-01-13,174
2012-01-14,333
2012-01-15,284
2012-01-16,217
2012-01-17,127
2012-01-18,109
2012-01-19,130
2012-01-20,115
2012-01-21,67
2012-01-22,196
2012-01-23,145
2012-01-24,439
2012-01-25,467
2012-01-26,244
2012-01-27,269
2012-01-28,775
2012-01-29,558
2012-01-30,126
2012-01-31,324
2012-02-01,304
2012-02-02,190
2012-02-03,310
2012-02-04,384
2012-02-05,318
2012-02-06,206
2012-02-07,199
2012-02-08,109
2012-02-09,163
2012-02-10,227
2012-02-11,192
2012-02-12,73
2012-02-13,94
2012-02-14,135
2012-02-15,141
2012-02-16,74
2012-02-17,349
2012-02-18,1435
2012-02-19,618
2012-02-20,502
2012-02-21,163
2012-02-22,394
2012-02-23,516
2012-02-24,246
2012-02-25,317
2012-02-26,515
2012-02-27,253
2012-02-28,229
2012-02-29,65
2012-03-01,325
2012-03-02,246
2012-03-03,956
2012-03-04,710
2012-03-05,203
2012-03-06,221
2012-03-07,432
2012-03-08,486
2012-03-09,447
2012-03-10,968
2012-03-11,1658
2012-03-12,838
2012-03-13,762
2012-03-14,997
2012-03-15,1005
2012-03-16,548
2012-03-17,3155
2012-03-18,2207
2012-03-19,982
2012-03-20,1051
2012-03-21,1122
2012-03-22,1334
2012-03-23,2469
2012-03-24,1033
2012-03-25,1532
2012-03-26,795
2012-03-27,531
2012-03-28,674
2012-03-29,834
2012-03-30,796
2012-03-31,2301
2012-04-01,2347
2012-04-02,1208
2012-04-03,1348
2012-04-04,1058
2012-04-05,1192
2012-04-06,1807
2012-04-07,3252
2012-04-08,2230
2012-04-09,905
2012-04-10,819
2012-04-11,482
2012-04-12,663
2012-04-13,1252
2012-04-14,2795
2012-04-15,2846
2012-04-16,1198
2012-04-17,989
2012-04-18,347
2012-04-19,846
2012-04-20,1340
2012-04-21,2541
2012-04-22,120
2012-04-23,195
2012-04-24,518
2012-04-25,655
2012-04-26,475
2012-04-27,1014
2012-04-28,1120
2012-04-29,2229
2012-04-30,665
2012-05-01,653
2012-05-02,667
2012-05-03,764
2012-05-04,1069
2012-05-05,2496
2012-05-06,2135
2012-05-07,1008
2012-05-08,738
2012-05-09,620
2012-05-10,1026
2012-05-11,1319
2012-05-12,2622
2012-05-13,2172
2012-05-14,342
2012-05-15,625
2012-05-16,991
2012-05-17,1242
2012-05-18,1521
2012-05-19,3410
2012-05-20,2704
2012-05-21,630
2012-05-22,819
2012-05-23,766
2012-05-24,1059
2012-05-25,1417
2012-05-26,2855
2012-05-27,3283
2012-05-28,2557
2012-05-29,880
2012-05-30,745
2012-05-31,1100
2012-06-01,533
2012-06-02,2795
2012-06-03,2494
2012-06-04,1071
2012-06-05,968
2012-06-06,1027
2012-06-07,1038
2012-06-08,1488
2012-06-09,2708
2012-06-10,2224
2012-06-11,1017
2012-06-12,477
2012-06-13,1173
2012-06-14,1180
2012-06-15,1563
2012-06-16,2963
2012-06-17,2634
2012-06-18,653
2012-06-19,968
2012-06-20,872
2012-06-21,778
2012-06-22,964
2012-06-23,2657
2012-06-24,2551
2012-06-25,1139
2012-06-26,1077
2012-06-27,1077
2012-06-28,921
2012-06-29,829
2012-06-30,1455
2012-07-01,1421
2012-07-02,904
2012-07-03,1052
2012-07-04,2562
2012-07-05,1405
2012-07-06,1366
2012-07-07,1448
2012-07-08,1203
2012-07-09,998
2012-07-10,954
2012-07-11,975
2012-07-12,1032
2012-07-13,1511
2012-07-14,2355
2012-07-15,1920
2012-07-16,1088
2012-07-17,921
2012-07-18,799
2012-07-19,888
2012-07-20,747
2012-07-21,1264
2012-07-22,2544
2012-07-23,1135
2012-07-24,1140
2012-07-25,1383
2012-07-26,1036
2012-07-27,1259
2012-07-28,2234
2012-07-29,2153
2012-07-30,1040
2012-07-31,968
2012-08-01,1074
2012-08-02,983
2012-08-03,1328
2012-08-04,2345
2012-08-05,1707
2012-08-06,1233
2012-08-07,1278
2012-08-08,1263
2012-08-09,1196
2012-08-10,1065
2012-08-11,2247
2012-08-12,2182
2012-08-13,1207
2012-08-14,1128
2012-08-15,1198
2012-08-16,1338
2012-08-17,1483
2012-08-18,2827
2012-08-19,1208
2012-08-20,1026
2012-08-21,1081
2012-08-22,1094
2012-08-23,1363
2012-08-24,1325
2012-08-25,1829
2012-08-26,1483
2012-08-27,989
2012-08-28,935
2012-08-29,1177
2012-08-30,1172
2012-08-31,1433
2012-09-01,2352
2012-09-02,2613
2012-09-03,1965
2012-09-04,867
2012-09-05,832
2012-09-06,611
2012-09-07,1045
2012-09-08,1557
2012-09-09,2570
2012-09-10,1118
2012-09-11,1070
2012-09-12,1050
2012-09-13,1054
2012-09-14,1379
2012-09-15,3160
2012-09-16,2166
2012-09-17,1022
2012-09-18,371
2012-09-19,788
2012-09-20,939
2012-09-21,1250
2012-09-22,2512
2012-09-23,2454
2012-09-24,1001
2012-09-25,845
2012-09-26,787
2012-09-27,751
2012-09-28,1045
2012-09-29,2589
2012-09-30,2015
2012-10-01,763
2012-10-02,315
2012-10-03,728
2012-10-04,891
2012-10-05,1516
2012-10-06,3031
2012-10-07,781
2012-10-08,874
2012-10-09,601
2012-10-10,780
2012-10-11,834
2012-10-12,1060
2012-10-13,2252
2012-10-14,2080
2012-10-15,760
2012-10-16,922
2012-10-17,979
2012-10-18,1008
2012-10-19,753
2012-10-20,2806
2012-10-21,2132
2012-10-22,830
2012-10-23,841
2012-10-24,795
2012-10-25,875
2012-10-26,1182
2012-10-27,2643
2012-10-28,998
2012-10-29,2
2012-10-30,87
2012-10-31,419
2012-11-01,466
2012-11-02,618
2012-11-03,1029
2012-11-04,1201
2012-11-05,378
2012-11-06,466
2012-11-07,326
2012-11-08,340
2012-11-09,709
2012-11-10,2090
2012-11-11,2290
2012-11-12,1097
2012-11-13,327
2012-11-14,373
2012-11-15,320
2012-11-16,484
2012-11-17,1313
2012-11-18,922
2012-11-19,449
2012-11-20,534
2012-11-21,615
2012-11-22,955
2012-11-23,1603
2012-11-24,532
2012-11-25,309
2012-11-26,337
2012-11-27,123
2012-11-28,198
2012-11-29,243
2012-11-30,362
